GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Sample Tracking Update Portlet,life.qbic.portal.sampletracking.trackinginformation.query.sample,QuerySample,329,0,4,0,22,0,6,0,4,0
Sample Tracking Update Portlet,life.qbic.portal.sampletracking.web.views,ControlElements._registerListeners_closure2._closure5,17,0,0,0,1,0,2,0,2,0
Sample Tracking Update Portlet,life.qbic.portal.sampletracking.web.views,SampleImport,797,0,26,0,52,0,20,0,7,0
Sample Tracking Update Portlet,life.qbic.portal.sampletracking.web.views,ControlElements,805,0,24,0,53,0,17,0,5,0
Sample Tracking Update Portlet,life.qbic.portal.sampletracking.web.views,SampleImport._selectSamplesFromFile_closure3,24,0,2,0,1,0,3,0,2,0
Sample Tracking Update Portlet,life.qbic.portal.sampletracking.web.views,PortletView._registerListeners_closure1,58,0,2,0,4,0,3,0,2,0
Sample Tracking Update Portlet,life.qbic.portal.sampletracking.web.views,PortletView._registerListeners_closure2,58,0,2,0,4,0,3,0,2,0
Sample Tracking Update Portlet,life.qbic.portal.sampletracking.web.views,SampleImport._registerListeners_closure1,17,0,0,0,1,0,2,0,2,0
Sample Tracking Update Portlet,life.qbic.portal.sampletracking.web.views,SampleImport._registerListeners_closure2,22,0,0,0,1,0,2,0,2,0
Sample Tracking Update Portlet,life.qbic.portal.sampletracking.web.views,SampleList,327,0,6,0,21,0,10,0,7,0
Sample Tracking Update Portlet,life.qbic.portal.sampletracking.web.views,SampleList._initLayout_closure3,21,0,0,0,1,0,2,0,2,0
Sample Tracking Update Portlet,life.qbic.portal.sampletracking.web.views,SampleList._initLayout_closure4,32,0,0,0,2,0,2,0,2,0
Sample Tracking Update Portlet,life.qbic.portal.sampletracking.web.views,SampleList._initLayout_closure1,17,0,0,0,1,0,2,0,2,0
Sample Tracking Update Portlet,life.qbic.portal.sampletracking.web.views,SampleList._initLayout_closure2,21,0,0,0,1,0,2,0,2,0
Sample Tracking Update Portlet,life.qbic.portal.sampletracking.web.views,SampleImport._isSampleSelected_closure4,30,0,0,0,1,0,2,0,2,0
Sample Tracking Update Portlet,life.qbic.portal.sampletracking.web.views,ControlElements._registerListeners_closure3,44,0,0,0,1,0,2,0,2,0
Sample Tracking Update Portlet,life.qbic.portal.sampletracking.web.views,ControlElements._registerListeners_closure4,26,0,0,0,1,0,2,0,2,0
Sample Tracking Update Portlet,life.qbic.portal.sampletracking.web.views,ControlElements._registerListeners_closure2,72,0,0,0,5,0,2,0,2,0
Sample Tracking Update Portlet,life.qbic.portal.sampletracking.web.views,SampleList.new PropertyChangeListener() {...},9,0,0,0,1,0,1,0,1,0
Sample Tracking Update Portlet,life.qbic.portal.sampletracking.web.views,ControlElements._initLayout_closure1,24,0,2,0,1,0,3,0,2,0
Sample Tracking Update Portlet,life.qbic.portal.sampletracking.web.views,PortletView,197,0,4,0,16,0,7,0,5,0
Sample Tracking Update Portlet,life.qbic.portal.sampletracking.trackinginformation.query,OpenbisAuthorizationException,224,0,12,0,3,0,13,0,3,0
Sample Tracking Update Portlet,life.qbic.portal.sampletracking.trackinginformation.query,SampleNotInOpenbisException,224,0,12,0,3,0,13,0,3,0
Sample Tracking Update Portlet,life.qbic.portal.sampletracking.trackinginformation.query,SampleTrackingQueryException,224,0,12,0,3,0,13,0,3,0
Sample Tracking Update Portlet,life.qbic.portal.sampletracking.web.views.samplefile,UploadSucceededEvent,29,0,0,0,1,0,1,0,1,0
Sample Tracking Update Portlet,life.qbic.portal.sampletracking.web.views.samplefile,UploadComponent,373,0,18,0,29,0,20,0,11,0
Sample Tracking Update Portlet,life.qbic.portal.sampletracking.web.views.samplefile,UploadComponent.new Upload.FailedListener() {...},25,0,0,0,2,0,1,0,1,0
Sample Tracking Update Portlet,life.qbic.portal.sampletracking.web.views.samplefile,UploadComponent.new Upload.SucceededListener() {...},156,0,4,0,17,0,3,0,1,0
Sample Tracking Update Portlet,life.qbic.portal.sampletracking.web.views.samplefile,UploadComponent.new Upload.Receiver() {...},90,0,0,0,6,0,1,0,1,0
Sample Tracking Update Portlet,life.qbic.portal.sampletracking.trackinginformation.query.locations,QueryAvailableLocations,146,0,0,0,9,0,4,0,4,0
Sample Tracking Update Portlet,life.qbic.portal.sampletracking.web.presenters,SampleListPresenter,127,0,0,0,5,0,5,0,5,0
Sample Tracking Update Portlet,life.qbic.portal.sampletracking.web.presenters,ControlElementsPresenter,85,0,2,0,4,0,5,0,4,0
Sample Tracking Update Portlet,life.qbic.portal.sampletracking.web.presenters,SampleListPresenter._updateFinished_closure1,33,0,0,0,1,0,2,0,2,0
Sample Tracking Update Portlet,life.qbic.portal.sampletracking.trackinginformation.update,SampleTrackingUpdateException,224,0,12,0,3,0,13,0,3,0
Sample Tracking Update Portlet,life.qbic.portal.sampletracking.trackinginformation.update,UpdateSampleTrackingInfo,218,0,0,0,15,0,5,0,5,0
Sample Tracking Update Portlet,life.qbic.portal.sampletracking,DependencyManager,1118,0,36,0,93,0,25,0,7,0
Sample Tracking Update Portlet,life.qbic.portal.sampletracking,SampleUpdatePortlet,225,0,8,0,22,0,8,0,4,0
Sample Tracking Update Portlet,life.qbic.portal.sampletracking.web,StyledNotification,381,0,20,0,10,0,19,0,5,0
Sample Tracking Update Portlet,life.qbic.portal.sampletracking.web,DateConverter,176,0,4,0,13,0,7,0,5,0
Sample Tracking Update Portlet,life.qbic.portal.sampletracking.web,ViewModel,115,0,0,0,5,0,2,0,2,0
Sample Tracking Update Portlet,life.qbic.portal.sampletracking.datasources,SampleTracker.SampleTrackingCenter._availableLocationsForPerson_closure2,39,0,0,0,2,0,2,0,2,0
